Stock Name,Scientific Name,Common Name,Stock Area,Assessment Level
Darkblotched rockfish - Pacific Coast,Sebastes crameri,Darkblotched rockfish,Pacific Coast,
Dover sole - Pacific Coast,Microstomus pacificus,Dover sole,Pacific Coast,
English sole - Pacific Coast,Parophrys vetulus,English sole,Pacific Coast,3
Greenspotted rockfish - Pacific Coast,Sebastes chlorostictus,Greenspotted rockfish,Pacific Coast,4
Greenstriped rockfish - Pacific Coast,Sebastes elongatus,Greenstriped rockfish,Pacific Coast,4
Kelp greenling - Oregon,Hexagrammos decagrammus,Kelp greenling,Oregon,4
Lingcod - Northern Pacific Coast,Ophiodon elongatus,Lingcod,Northern Pacific Coast,
Lingcod - Southern Pacific Coast,Ophiodon elongatus,Lingcod,Southern Pacific Coast,
Longnose skate - Pacific Coast,Raja rhina,Longnose skate,Pacific Coast,4
Longspine thornyhead - Pacific Coast,Sebastolobus altivelis,Longspine thornyhead,Pacific Coast,
Northern California Gopher / Black-and-Yellow Rockfish Complex,,,Northern California,
Oregon Blue and Deacon Rockfish Complex,,,,4
Pacific Coast Blackspotted and Rougheye Rockfish Complex,,,,
Pacific grenadier - Pacific Coast,Coryphaenoides acrolepis,Pacific grenadier,Pacific Coast,2
Pacific hake - Pacific Coast,Merluccius productus,Pacific hake,Pacific Coast,4
Pacific ocean perch - Pacific Coast,Sebastes alutus,Pacific ocean perch,Pacific Coast,4
Pacific sanddab - Pacific Coast,Citharichthys sordidus,Pacific sanddab,Pacific Coast,4
Petrale sole - Pacific Coast,Eopsetta jordani,Petrale sole,Pacific Coast,
Quillback rockfish - California,Sebastes maliger,Quillback rockfish,California,
Quillback rockfish - Oregon,Sebastes maliger,Quillback rockfish,Oregon,
Quillback rockfish - Washington,Sebastes maliger,Quillback rockfish,Washington,
Rex sole - Pacific Coast,Glyptocephalus zachirus,Rex sole,Pacific Coast,3
Rougheye rockfish - Pacific Coast,Sebastes aleutianus,Rougheye rockfish,Pacific Coast,2
Sablefish - Pacific Coast,Anoplopoma fimbria,Sablefish,Pacific Coast,
Sharpchin rockfish - Pacific Coast,Sebastes zacentrus,Sharpchin rockfish,Pacific Coast,3
Shortbelly rockfish - Pacific Coast,Sebastes jordani,Shortbelly rockfish,Pacific Coast,4
Shortspine thornyhead - Pacific Coast,Sebastolobus alascanus,Shortspine thornyhead,Pacific Coast,
Spiny dogfish - Pacific Coast,Squalus acanthias,Spiny dogfish,Pacific Coast,
Splitnose rockfish - Pacific Coast,Sebastes diploproa,Splitnose rockfish,Pacific Coast,4
Squarespot rockfish - Pacific Coast,Sebastes hopkinsi,Squarespot rockfish,Pacific Coast,
Starry flounder - Northern Pacific Coast,Platichthys stellatus,Starry flounder,Northern Pacific Coast,1
Starry flounder - Pacific Coast,Platichthys stellatus,Starry flounder,Pacific Coast,4
Starry flounder - Southern Pacific Coast,Platichthys stellatus,Starry flounder,Southern Pacific Coast,1
Stripetail rockfish - Pacific Coast,Sebastes saxicola,Stripetail rockfish,Pacific Coast,3
Vermilion and Sunset Rockfish Complex - Southern California,,,Southern California,
Vermilion and Sunset rockfish Complex - Northern California,,,Northern California,
Vermilion rockfish - Oregon,Sebastes miniatus,Vermilion rockfish,Oregon,
Vermilion rockfish - Washington,Sebastes miniatus,Vermilion rockfish,Washington,
Widow rockfish - Pacific Coast,Sebastes entomelas,Widow rockfish,Pacific Coast,
Yelloweye rockfish - Pacific Coast,Sebastes ruberrimus,Yelloweye rockfish,Pacific Coast,4
Yellowtail rockfish - Northern Pacific Coast,Sebastes flavidus,Yellowtail rockfish,Northern Pacific Coast,4
Yellowtail rockfish - Southern Pacific Coast,Sebastes flavidus,Yellowtail rockfish,Southern Pacific Coast,4
Chinook salmon - California Central Valley: Sacramento River Fall,Oncorhynchus tshawytscha,Chinook salmon,California Central Valley: Sacramento River Fall,
Chinook salmon - California Central Valley: Sacramento River Spring,Oncorhynchus tshawytscha,Chinook salmon,California Central Valley: Sacramento River Spring,
Chinook salmon - California Central Valley: Sacramento River Winter,Oncorhynchus tshawytscha,Chinook salmon,California Central Valley: Sacramento River Winter,
Chinook salmon - Columbia River Basin: Lower River Hatchery Fall,Oncorhynchus tshawytscha,Chinook salmon,Columbia River Basin: Lower River Hatchery Fall,
Chinook salmon - Columbia River Basin: Lower River Hatchery Spring,Oncorhynchus tshawytscha,Chinook salmon,Columbia River Basin: Lower River Hatchery Spring,
Chinook salmon - Columbia River Basin: Mid-River Bright Hatchery Fall,Oncorhynchus tshawytscha,Chinook salmon,Columbia River Basin: Mid-River Bright Hatchery Fall,
Chinook salmon - Columbia River Basin: North Lewis River Fall,Oncorhynchus tshawytscha,Chinook salmon,Columbia River Basin: North Lewis River Fall,
Chinook salmon - Columbia River Basin: Snake River Fall,Oncorhynchus tshawytscha,Chinook salmon,Columbia River Basin: Snake River Fall,
Chinook salmon - Columbia River Basin: Snake River Spring/Summer,Oncorhynchus tshawytscha,Chinook salmon,Columbia River Basin: Snake River Spring/Summer,
Chinook salmon - Columbia River Basin: Spring Creek Hatchery Fall,Oncorhynchus tshawytscha,Chinook salmon,Columbia River Basin: Spring Creek Hatchery Fall,
Chinook salmon - Columbia River Basin: Upper River Bright Fall,Oncorhynchus tshawytscha,Chinook salmon,Columbia River Basin: Upper River Bright Fall,
Chinook salmon - Columbia River Basin: Upper River Spring,Oncorhynchus tshawytscha,Chinook salmon,Columbia River Basin: Upper River Spring,
Chinook salmon - Columbia River Basin: Upper River Summer,Oncorhynchus tshawytscha,Chinook salmon,Columbia River Basin: Upper River Summer,4
Chinook salmon - Columbia River Basin: Upper Willamette Spring,Oncorhynchus tshawytscha,Chinook salmon,Columbia River Basin: Upper Willamette Spring,
Chinook salmon - Northern California Coast: California Coastal,Oncorhynchus tshawytscha,Chinook salmon,Northern California Coast: California Coastal,
Chinook salmon - Northern California Coast: Klamath River Fall,Oncorhynchus tshawytscha,Chinook salmon,Northern California Coast: Klamath River Fall,
Chinook salmon - Northern California Coast: Klamath River Spring,Oncorhynchus tshawytscha,Chinook salmon,Northern California Coast: Klamath River Spring,1
Chinook salmon - Oregon Coast: Central and Northern Oregon,Oncorhynchus tshawytscha,Chinook salmon,Oregon Coast: Central and Northern Oregon,
Chinook salmon - Oregon Coast: Southern Oregon,Oncorhynchus tshawytscha,Chinook salmon,Oregon Coast: Southern Oregon,
Chinook salmon - Puget Sound: Cedar River Summer/Fall,Oncorhynchus tshawytscha,Chinook salmon,Puget Sound: Cedar River Summer/Fall,
Chinook salmon - Puget Sound: Eastern Strait of Juan de Fuca Summer/Fall,Oncorhynchus tshawytscha,Chinook salmon,Puget Sound: Eastern Strait of Juan de Fuca Summer/Fall,
Chinook salmon - Puget Sound: Green River Summer/Fall,Oncorhynchus tshawytscha,Chinook salmon,Puget Sound: Green River Summer/Fall,
Chinook salmon - Puget Sound: Mid Hood Canal Summer/Fall,Oncorhynchus tshawytscha,Chinook salmon,Puget Sound: Mid Hood Canal Summer/Fall,
Chinook salmon - Puget Sound: Nisqually River Summer/Fall,Oncorhynchus tshawytscha,Chinook salmon,Puget Sound: Nisqually River Summer/Fall,
Chinook salmon - Puget Sound: Nooksack Spring Early,Oncorhynchus tshawytscha,Chinook salmon,Puget Sound: Nooksack Spring Early,
Chinook salmon - Puget Sound: Puyallup Summer/Fall,Oncorhynchus tshawytscha,Chinook salmon,Puget Sound: Puyallup Summer/Fall,
Chinook salmon - Puget Sound: Skagit Spring,Oncorhynchus tshawytscha,Chinook salmon,Puget Sound: Skagit Spring,
Chinook salmon - Puget Sound: Skagit Summer/Fall,Oncorhynchus tshawytscha,Chinook salmon,Puget Sound: Skagit Summer/Fall,
Chinook salmon - Puget Sound: Snohomish Summer/Fall,Oncorhynchus tshawytscha,Chinook salmon,Puget Sound: Snohomish Summer/Fall,
Chinook salmon - Puget Sound: Stillaguamish Summer/Fall,Oncorhynchus tshawytscha,Chinook salmon,Puget Sound: Stillaguamish Summer/Fall,
Chinook salmon - Puget Sound: White River Spring,Oncorhynchus tshawytscha,Chinook salmon,Puget Sound: White River Spring,
Chinook salmon - Washington Coast: Grays Harbor Fall,Oncorhynchus tshawytscha,Chinook salmon,Washington Coast: Grays Harbor Fall,
Chinook salmon - Washington Coast: Grays Harbor Spring,Oncorhynchus tshawytscha,Chinook salmon,Washington Coast: Grays Harbor Spring,
Chinook salmon - Washington Coast: Hoh Fall,Oncorhynchus tshawytscha,Chinook salmon,Washington Coast: Hoh Fall,
Chinook salmon - Washington Coast: Hoh Spring/Summer,Oncorhynchus tshawytscha,Chinook salmon,Washington Coast: Hoh Spring/Summer,
Chinook salmon - Washington Coast: Hoko Summer/Fall,Oncorhynchus tshawytscha,Chinook salmon,Washington Coast: Hoko Summer/Fall,
Chinook salmon - Washington Coast: Queets Fall,Oncorhynchus tshawytscha,Chinook salmon,Washington Coast: Queets Fall,
Chinook salmon - Washington Coast: Queets Spring/Summer,Oncorhynchus tshawytscha,Chinook salmon,Washington Coast: Queets Spring/Summer,
Chinook salmon - Washington Coast: Quillayute Fall,Oncorhynchus tshawytscha,Chinook salmon,Washington Coast: Quillayute Fall,
Chinook salmon - Washington Coast: Quillayute Spring/Summer,Oncorhynchus tshawytscha,Chinook salmon,Washington Coast: Quillayute Spring/Summer,
Chinook salmon - Washington Coast: Quinault Fall Hatchery,Oncorhynchus tshawytscha,Chinook salmon,Washington Coast: Quinault Fall Hatchery,
Chinook salmon - Washington Coast: Willapa Bay Fall Hatchery,Oncorhynchus tshawytscha,Chinook salmon,Washington Coast: Willapa Bay Fall Hatchery,
Chinook salmon - Washington Coast: Willapa Bay Fall Natural,Oncorhynchus tshawytscha,Chinook salmon,Washington Coast: Willapa Bay Fall Natural,
Coho salmon - Oregon Production Index Area: Central California Coast,Oncorhynchus kisutch,Coho salmon,Oregon Production Index Area: Central California Coast,
Coho salmon - Oregon Production Index Area: Columbia River Early Hatchery,Oncorhynchus kisutch,Coho salmon,Oregon Production Index Area: Columbia River Early Hatchery,
Coho salmon - Oregon Production Index Area: Columbia River Late Hatchery,Oncorhynchus kisutch,Coho salmon,Oregon Production Index Area: Columbia River Late Hatchery,
Coho salmon - Oregon Production Index Area: Lower Columbia Natural,Oncorhynchus kisutch,Coho salmon,Oregon Production Index Area: Lower Columbia Natural,
Coho salmon - Oregon Production Index Area: Oregon Coast Hatchery,Oncorhynchus kisutch,Coho salmon,Oregon Production Index Area: Oregon Coast Hatchery,
Coho salmon - Oregon Production Index Area: Oregon Coast Natural,Oncorhynchus kisutch,Coho salmon,Oregon Production Index Area: Oregon Coast Natural,
Coho salmon - Oregon Production Index Area: Southern Oregon/Northern California Coast,Oncorhynchus kisutch,Coho salmon,Oregon Production Index Area: Southern Oregon/Northern California Coast,
Coho salmon - Puget Sound: Hood Canal,Oncorhynchus kisutch,Coho salmon,Puget Sound: Hood Canal,
Coho salmon - Puget Sound: Skagit,Oncorhynchus kisutch,Coho salmon,Puget Sound: Skagit,
Coho salmon - Puget Sound: Snohomish,Oncorhynchus kisutch,Coho salmon,Puget Sound: Snohomish,
Coho salmon - Puget Sound: South Puget Sound Hatchery,Oncorhynchus kisutch,Coho salmon,Puget Sound: South Puget Sound Hatchery,
Coho salmon - Puget Sound: Stillaguamish,Oncorhynchus kisutch,Coho salmon,Puget Sound: Stillaguamish,
Coho salmon - Washington Coast: Grays Harbor,Oncorhynchus kisutch,Coho salmon,Washington Coast: Grays Harbor,
Coho salmon - Washington Coast: Hoh,Oncorhynchus kisutch,Coho salmon,Washington Coast: Hoh,
Coho salmon - Washington Coast: Queets,Oncorhynchus kisutch,Coho salmon,Washington Coast: Queets,
Coho salmon - Washington Coast: Quillayute Fall,Oncorhynchus kisutch,Coho salmon,Washington Coast: Quillayute Fall,
Coho salmon - Washington Coast: Quillayute Summer Hatchery,Oncorhynchus kisutch,Coho salmon,Washington Coast: Quillayute Summer Hatchery,
Coho salmon - Washington Coast: Quinault Hatchery,Oncorhynchus kisutch,Coho salmon,Washington Coast: Quinault Hatchery,
Coho salmon - Washington Coast: Strait of Juan de Fuca,Oncorhynchus kisutch,Coho salmon,Washington Coast: Strait of Juan de Fuca,
Coho salmon - Washington Coast: Willapa Bay Hatchery,Oncorhynchus kisutch,Coho salmon,Washington Coast: Willapa Bay Hatchery,
Coho salmon - Washington Coast: Willapa Bay Natural,Oncorhynchus kisutch,Coho salmon,Washington Coast: Willapa Bay Natural,
Pink salmon - Puget Sound,Oncorhynchus gorbuscha,Pink salmon,Puget Sound,1
Albacore - North Pacific,Thunnus alalunga,Albacore,North Pacific,4
Bigeye thresher - Pacific,Alopias superciliosus,Bigeye thresher,Pacific,2
Bigeye tuna - Eastern Pacific,Thunnus obesus,Bigeye tuna,Eastern Pacific,1
Bigeye tuna - Western and Central Pacific,Thunnus obesus,Bigeye tuna,Western and Central Pacific,4
Blue shark - North Pacific,Prionace glauca,Blue shark,North Pacific,4
Pacific bluefin tuna - Pacific,Thunnus orientalis,Pacific bluefin tuna,Pacific,4
Shortfin mako - North Pacific,Isurus oxyrinchus,Shortfin mako,North Pacific,4
Skipjack tuna - Eastern Pacific,Katsuwonus pelamis,Skipjack tuna,Eastern Pacific,1
Skipjack tuna - Western and Central Pacific,Katsuwonus pelamis,Skipjack tuna,Western and Central Pacific,
Striped marlin - Eastern Pacific,Kajikia audax,Striped marlin,Eastern Pacific,4
Striped marlin - Western and Central North Pacific,Kajikia audax,Striped marlin,Western and Central North Pacific,
Swordfish - Eastern Pacific,Xiphias gladius,Swordfish,Eastern Pacific,3
Swordfish - Western and Central North Pacific,Xiphias gladius,Swordfish,Western and Central North Pacific,4
Thresher shark - North Pacific,Alopias vulpinus,Thresher shark,North Pacific,4
Yellowfin tuna - Eastern Pacific,Thunnus albacares,Yellowfin tuna,Eastern Pacific,4
Yellowfin tuna - Western and Central Pacific,Thunnus albacares,Yellowfin tuna,Western and Central Pacific,4
Brown rock shrimp - Southern Atlantic Coast,Sicyonia brevirostris,Brown rock shrimp,Southern Atlantic Coast,1
Brown shrimp - Southern Atlantic Coast,Farfantepenaeus aztecus,Brown shrimp,Southern Atlantic Coast,1
Pink shrimp - Southern Atlantic Coast,Farfantepenaeus duorarum,Pink shrimp,Southern Atlantic Coast,1
White shrimp - Southern Atlantic Coast,Litopenaeus setiferus,White shrimp,Southern Atlantic Coast,1
Black sea bass - Southern Atlantic Coast,Centropristis striata,Black sea bass,Southern Atlantic Coast,4
Blueline tilefish - Southern Atlantic Coast,Caulolatilus microps,Blueline tilefish,Southern Atlantic Coast,3
Gag - Southern Atlantic Coast,Mycteroperca microlepis,Gag,Southern Atlantic Coast,4
Gray triggerfish - Southern Atlantic Coast,Balistes capriscus,Gray triggerfish,Southern Atlantic Coast,4
Greater amberjack - Southern Atlantic Coast,Seriola dumerili,Greater amberjack,Southern Atlantic Coast,4
Hogfish - Carolinas,Lachnolaimus maximus,Hogfish,Carolinas,4
Hogfish - Florida Keys / East Florida,Lachnolaimus maximus,Hogfish,Florida Keys / East Florida,4
Red grouper - Southern Atlantic Coast,Epinephelus morio,Red grouper,Southern Atlantic Coast,4
Red porgy - Southern Atlantic Coast,Pagrus pagrus,Red porgy,Southern Atlantic Coast,4
Red snapper - Southern Atlantic Coast,Lutjanus campechanus,Red snapper,Southern Atlantic Coast,4
Snowy grouper - Southern Atlantic Coast,Epinephelus niveatus,Snowy grouper,Southern Atlantic Coast,4
Tilefish - Southern Atlantic Coast,Lopholatilus chamaeleonticeps,Tilefish,Southern Atlantic Coast,4
Vermilion snapper - Southern Atlantic Coast,Rhomboplites aurorubens,Vermilion snapper,Southern Atlantic Coast,4
Wreckfish - Southern Atlantic Coast,Polyprion americanus,Wreckfish,Southern Atlantic Coast,4
Cobia - Gulf of Mexico,Rachycentron canadum,Cobia,Gulf of Mexico,
King mackerel - Gulf of Mexico,Scomberomorus cavalla,King mackerel,Gulf of Mexico,4
King mackerel - Southern Atlantic Coast,Scomberomorus cavalla,King mackerel,Southern Atlantic Coast,4
Spanish mackerel - Gulf of Mexico,Scomberomorus maculatus,Spanish mackerel,Gulf of Mexico,4
Spanish mackerel - Southern Atlantic Coast,Scomberomorus maculatus,Spanish mackerel,Southern Atlantic Coast,4
Black grouper - Southern Atlantic Coast / Gulf of Mexico,Mycteroperca bonaci,Black grouper,Southern Atlantic Coast / Gulf of Mexico,4
Goliath grouper - Southern Atlantic Coast / Gulf of Mexico,Epinephelus itajara,Goliath grouper,Southern Atlantic Coast / Gulf of Mexico,3
Mutton snapper - Southern Atlantic Coast / Gulf of Mexico,Lutjanus analis,Mutton snapper,Southern Atlantic Coast / Gulf of Mexico,4
Yellowtail snapper - Southern Atlantic Coast / Gulf of Mexico,Ocyurus chrysurus,Yellowtail snapper,Southern Atlantic Coast / Gulf of Mexico,
Caribbean spiny lobster - Southern Atlantic Coast / Gulf of Mexico,Panulirus argus,Caribbean spiny lobster,Southern Atlantic Coast / Gulf of Mexico,4
American Samoa Bottomfish Multi-species Complex,,,,3
Bullethead parrotfish - Main Hawaiian Islands,Chlorurus sordidus,Bullethead parrotfish,Main Hawaiian Islands,2
Crimson jobfish - Main Hawaiian Islands,Pristipomoides filamentosus,Crimson jobfish,Main Hawaiian Islands,3
Giant trevally - Main Hawaiian Islands,Caranx ignobilis,Giant trevally,Main Hawaiian Islands,2
Goatfish (Parupeneus porphyreus) - Main Hawaiian Islands,Parupeneus porphyreus,Goatfish (Parupeneus porphyreus),Main Hawaiian Islands,2
Green jobfish - Main Hawaiian Islands,Aprion virescens,Green jobfish,Main Hawaiian Islands,2
Main Hawaiian Islands Deep 7 Bottomfish Multi-species Complex,,,,3
Palenose parrotfish - Main Hawaiian Islands,Scarus psittacus,Palenose parrotfish,Main Hawaiian Islands,2
Redlip parrotfish - Main Hawaiian Islands,Scarus rubroviolaceus,Redlip parrotfish,Main Hawaiian Islands,2
Regal parrotfish - Main Hawaiian Islands,Scarus dubius,Regal parrotfish,Main Hawaiian Islands,2
Shortnosed unicornfish - Main Hawaiian Islands,Naso brevirostris,Shortnosed unicornfish,Main Hawaiian Islands,2
Sleek unicornfish - Main Hawaiian Islands,Naso hexacanthus,Sleek unicornfish,Main Hawaiian Islands,2
Spanner crab - Main Hawaiian Islands,Ranina ranina,Spanner crab,Main Hawaiian Islands,
Spectacled parrotfish - Main Hawaiian Islands,Chlorurus perspicillatus,Spectacled parrotfish,Main Hawaiian Islands,2
Stareye parrotfish - Main Hawaiian Islands,Calotomus carolinus,Stareye parrotfish,Main Hawaiian Islands,2
Twosaddle goatfish - Main Hawaiian Islands,Parupeneus insularis,Twosaddle goatfish,Main Hawaiian Islands,2
Yellowfin goatfish - Main Hawaiian Islands,Mulloidichthys vanicolensis,Yellowfin goatfish,Main Hawaiian Islands,2
Yellowstripe goatfish - Main Hawaiian Islands,Mulloidichthys flavolineatus,Yellowstripe goatfish,Main Hawaiian Islands,2
Bigeye bream - Guam,Monotaxis grandoculis,Bigeye bream,Guam,
Blacktail snapper - Guam,Lutjanus fulvus,Blacktail snapper,Guam,
Bluefin trevally - Guam,Caranx melampygus,Bluefin trevally,Guam,
Bluespine unicornfish - Guam,Naso unicornis,Bluespine unicornfish,Guam,
Filament-f inned parrotfish - Guam,Scarus altipinnis,Filament-finned parrotfish,Guam,
Guam Bottomfish Multi-species Complex,,,,3
Humpback red snapper - Guam,Lutjanus gibbus,Humpback red snapper,Guam,
Island jack - Guam,Carangoides orthogrammus,Island jack,Guam,
Longnose emperor - Guam,Lethrinus olivaceus,Longnose emperor,Guam,
Northern Mariana Islands Bottomfish Multi-species Complex,,,,3
Pacific longnose parrotfish - Guam,Hipposcarus longiceps,Pacific longnose parrotfish,Guam,
Redlip parrotfish - Guam,Scarus rubroviolaceus,Redlip parrotfish,Guam,
Steephead parrotfish - Guam,Chlorurus microrhinos,Steephead parrotfish,Guam,
Yellowlip emperor - Guam,Lethrinus xanthochilus,Yellowlip emperor,Guam,
Albacore - South Pacific,Thunnus alalunga,Albacore,South Pacific,4
Blue marlin - Pacific,Makaira nigricans,Blue marlin,Pacific,4
Oceanic whitetip shark - Western and Central Pacific,Carcharhinus longimanus,Oceanic whitetip shark,Western and Central Pacific,
Silky shark - Western and Central Pacific,Carcharhinus falciformis,Silky shark,Western and Central Pacific,4
