Stock,Last_assessment,Model_category,Target_frequency,Catch_level,Catch_target,Catch_gap,Abundance_level,Abundance_target,Abundance_gap,LH_level,LH_target,LH_gap,Comp_level,Comp_target,Comp_gap,Eco_level,Eco_target,Eco_gap
Atlantic herring - Northwestern Atlantic Coast,2020,6,1,5,5,0,4,4,0,3,5,2,4,5,1,2,2,0
Atlantic salmon - Gulf of Maine,2020,2,1,5,5,0,5,5,0,4,4,0,5,5,0,0,2,2
Sea scallop - Northwestern Atlantic Coast,2020,5,2,5,5,0,4,5,1,4,4,0,4,4,0,2,2,0
Atlantic surfclam - Mid-Atlantic Coast,2020,6,4,5,5,0,4,4,0,5,5,0,4,4,0,2,2,0
Ocean quahog - Atlantic Coast,2020,6,10,5,5,0,4,4,0,4,5,1,4,5,1,2,2,0
Bluefish - Atlantic Coast,2021,6,1,5,5,0,4,4,0,3,4,1,4,4,0,0,2,2
Red deepsea crab - Northwestern Atlantic,2006,2,5,4,5,1,2,4,2,2,2,0,4,4,0,0,2,2
Atlantic chub mackerel - Mid-Atlantic Coast,NA,NA,5,2,5,3,2,2,0,2,4,2,1,4,3,1,2,1
Atlantic mackerel - Gulf of Maine / Cape Hatteras,2021,6,3,4,5,1,4,4,0,4,5,1,4,4,0,2,3,1
Butterfish - Gulf of Maine / Cape Hatteras,2020,6,2,4,5,1,4,4,0,4,4,0,4,4,0,3,3,0
Longfin inshore squid - Georges Bank / Cape Hatteras,2020,2,1,5,5,0,4,4,0,2,5,3,2,5,3,0,2,2
Northern shortfin squid - Northwestern Atlantic Coast,2005,2,1,4,5,1,3,4,1,2,2,0,2,2,0,0,1,1
Goosefish - Gulf of Maine / Northern Georges Bank,2019,2,3,5,5,0,3,4,1,2,2,0,2,2,0,0,2,2
Goosefish - Southern Georges Bank / Mid-Atlantic,2019,2,4,5,5,0,3,4,1,2,2,0,2,2,0,0,2,2
Acadian redfish - Gulf of Maine / Georges Bank,2020,6,10,4,5,1,4,4,0,4,4,0,4,4,0,2,2,0
American plaice - Gulf of Maine / Georges Bank,2019,4,3,4,5,1,4,5,1,3,4,1,4,4,0,0,2,2
Atlantic cod - Georges Bank,2021,2,1,4,5,1,4,5,1,3,5,2,4,5,1,0,4,4
Atlantic cod - Gulf of Maine,2021,6,1,4,5,1,4,5,1,3,5,2,4,5,1,2,4,2
Atlantic halibut - Northwestern Atlantic Coast,2020,1,3,2,5,3,3,5,2,2,5,3,2,5,3,0,2,2
Atlantic wolffish - Gulf of Maine / Georges Bank,2020,5,2,5,5,0,3,4,1,3,4,1,4,4,0,2,2,0
Haddock - Georges Bank,2019,4,4,5,5,0,4,5,1,3,4,1,4,5,1,0,2,2
Haddock - Gulf of Maine,2019,6,4,4,5,1,4,5,1,3,4,1,4,5,1,2,2,0
Ocean pout - Northwestern Atlantic Coast,2020,2,3,5,5,0,3,4,1,2,4,2,2,4,2,0,2,2
Offshore hake - Northwestern Atlantic Coast,2011,2,4,5,5,0,3,4,1,2,4,2,2,4,2,0,2,2
Pollock - Gulf of Maine / Georges Bank,2019,6,5,4,5,1,4,4,0,3,3,0,4,4,0,2,2,0
Red hake - Gulf of Maine / Northern Georges Bank,2020,2,3,4,4,0,4,4,0,2,2,0,2,2,0,0,2,2
Red hake - Southern Georges Bank / Mid-Atlantic,2020,2,3,4,4,0,4,4,0,2,2,0,2,2,0,0,2,2
Silver hake - Gulf of Maine / Northern Georges Bank,2020,2,4,4,5,1,4,4,0,2,2,0,2,2,0,0,1,1
Silver hake - Southern Georges Bank / Mid-Atlantic,2020,2,4,4,5,1,4,4,0,2,2,0,2,2,0,0,1,1
White hake - Gulf of Maine / Georges Bank,2019,6,3,4,5,1,4,5,1,3,4,1,4,4,0,2,2,0
Windowpane - Gulf of Maine / Georges Bank,2020,2,3,3,5,2,3,4,1,3,3,0,2,2,0,0,2,2
Windowpane - Southern New England / Mid-Atlantic,2020,2,5,2,5,3,3,4,1,2,3,1,2,2,0,0,2,2
Winter flounder - Georges Bank,2020,4,1,4,5,1,4,5,1,3,5,2,4,5,1,0,4,4
Winter flounder - Gulf of Maine,2020,2,1,4,5,1,4,4,0,3,5,2,2,5,3,0,2,2
Winter flounder - Southern New England / Mid-Atlantic,2020,6,1,5,5,0,4,5,1,3,5,2,4,5,1,2,2,0
Witch flounder - Northwestern Atlantic Coast,2019,2,3,5,5,0,4,5,1,3,5,2,3,5,2,0,2,2
Yellowtail flounder - Cape Cod / Gulf of Maine,2019,4,3,4,5,1,4,4,0,3,3,0,4,4,0,0,2,2
Yellowtail flounder - Georges Bank,2021,2,3,4,5,1,4,5,1,4,4,0,4,4,0,0,2,2
Yellowtail flounder - Southern New England / Mid-Atlantic,2019,6,5,5,5,0,4,4,0,3,3,0,4,4,0,2,2,0
Barndoor skate - Georges Bank / Southern New England,2020,2,1,2,5,3,3,4,1,2,2,0,1,2,1,0,2,2
Clearnose skate - Southern New England / Mid-Atlantic,2020,2,2,2,5,3,3,4,1,2,2,0,1,2,1,0,1,1
Little skate - Georges Bank / Southern New England,2019,2,2,2,5,3,3,4,1,2,2,0,1,2,1,0,1,1
Rosette skate - Southern New England / Mid-Atlantic,2020,2,2,2,5,3,3,4,1,2,2,0,1,2,1,0,1,1
Smooth skate - Gulf of Maine,2020,2,1,2,5,3,3,4,1,2,2,0,1,2,1,0,2,2
Thorny skate - Gulf of Maine,2020,2,1,2,5,3,3,4,1,2,2,0,1,2,1,0,2,2
Winter skate - Georges Bank / Southern New England,2020,2,2,2,5,3,3,4,1,2,2,0,1,2,1,0,2,2
Spiny dogfish - Atlantic Coast,2018,5,5,4,5,1,4,4,0,4,4,0,4,4,0,0,2,2
Black sea bass - Mid-Atlantic Coast,2021,6,1,4,5,1,4,5,1,3,5,2,4,5,1,2,4,2
Scup - Atlantic Coast,2021,6,1,4,5,1,4,4,0,3,5,2,4,5,1,2,2,0
Summer flounder - Mid-Atlantic Coast,2021,6,1,5,5,0,4,5,1,4,5,1,4,5,1,2,2,0
Blueline tilefish - Mid-Atlantic Coast,2018,1,2,3,5,2,2,4,2,2,2,0,2,2,0,0,1,1
Tilefish - Mid-Atlantic Coast,2021,6,1,3,5,2,2,4,2,3,5,2,3,5,2,0,2,2
King mackerel - Southern Atlantic Coast,2020,6,7,3,4,1,3,4,1,3,4,1,3,5,2,2,2,0
Spanish mackerel - Southern Atlantic Coast,2013,6,9,3,4,1,3,4,1,2,4,2,3,5,2,0,2,2
Black corals (Antipatharia) - Southern Atlantic Coast,NA,NA,10,1,2,1,0,2,2,0,2,2,0,2,2,0,2,2
Fire corals (Milleporidae) - Southern Atlantic Coast,NA,NA,10,1,2,1,0,2,2,0,2,2,0,2,2,0,2,2
Hydrocorals (Stylasteridae) - Southern Atlantic Coast,NA,NA,10,1,2,1,0,2,2,0,2,2,0,2,2,0,2,2
Soft corals (Octocorallia) - Southern Atlantic Coast,NA,NA,10,1,2,1,0,2,2,0,2,2,0,2,2,0,2,2
Stony corals (Scleractinia) - Southern Atlantic Coast,NA,NA,10,1,2,1,0,2,2,0,2,2,0,2,2,0,2,2
Dolphinfish - Southern Atlantic Coast,NA,NA,3,3,4,1,1,4,3,1,3,2,1,3,2,0,2,2
Wahoo - Southern Atlantic Coast,NA,NA,1,3,4,1,1,4,3,1,3,2,1,3,2,0,2,2
Golden deepsea crab - Southern Atlantic Coast,NA,NA,10,2,4,2,0,3,3,0,3,3,0,3,3,0,2,2
Sargassum - Southern Atlantic Coast,NA,NA,1,0,1,1,0,0,0,0,2,2,0,0,0,0,2,2
Brown rock shrimp - Southern Atlantic Coast,2018,2,1,3,5,2,0,4,4,1,4,3,0,4,4,0,2,2
Brown shrimp - Southern Atlantic Coast,2018,2,1,3,5,2,2,4,2,1,4,3,0,4,4,0,2,2
Pink shrimp - Southern Atlantic Coast,2018,2,1,3,5,2,2,4,2,1,4,3,0,4,4,0,2,2
White shrimp - Southern Atlantic Coast,2018,2,1,3,5,2,2,4,2,1,4,3,0,4,4,0,2,2
Atlantic spadefish - Southern Atlantic Coast,NA,NA,1,3,3,0,1,3,2,1,3,2,1,3,2,0,2,2
Bar jack - Southern Atlantic Coast,NA,NA,1,3,3,0,1,3,2,1,3,2,1,3,2,0,2,2
Black sea bass - Southern Atlantic Coast,2018,6,5,3,4,1,3,4,1,2,4,2,4,5,1,0,2,2
Blueline tilefish - Southern Atlantic Coast,2017,3,5,3,3,0,1,3,2,2,3,1,2,3,1,0,2,2
Gag - Southern Atlantic Coast,2021,6,6,3,4,1,2,4,2,2,4,2,4,5,1,2,2,0
Gray triggerfish - Southern Atlantic Coast,NA,NA,5,3,4,1,3,4,1,1,4,3,1,5,4,0,2,2
Greater amberjack - Southern Atlantic Coast,2020,6,7,3,4,1,2,4,2,3,4,1,3,5,2,2,2,0
Hogfish - Carolinas,NA,NA,10,2,3,1,1,3,2,2,3,1,3,4,1,0,2,2
Hogfish - Southeast Florida,2014,6,7,3,4,1,2,4,2,2,3,1,3,4,1,0,2,2
Red grouper - Southern Atlantic Coast,2017,6,6,3,4,1,3,4,1,2,4,2,3,5,2,0,2,2
Red porgy - Southern Atlantic Coast,2020,6,7,3,4,1,3,4,1,2,4,2,3,5,2,2,2,0
Red snapper - Southern Atlantic Coast,2021,6,6,3,4,1,3,4,1,2,4,2,3,5,2,2,2,0
Scamp - Southern Atlantic Coast,2021,NA,8,3,4,1,3,4,1,2,4,2,3,5,2,2,2,0
Snowy grouper - Southern Atlantic Coast,2021,6,10,3,4,1,2,4,2,2,4,2,3,5,2,2,2,0
South Atlantic Deepwater Snapper-Grouper Complex,2021,NA,10,2,3,1,1,2,1,1,2,1,1,2,1,2,2,0
South Atlantic Grunts Complex,2021,NA,8,2,3,1,1,2,1,1,2,1,1,2,1,2,2,0
South Atlantic Jacks Complex,2021,NA,7,2,3,1,1,2,1,1,2,1,1,2,1,2,2,0
South Atlantic Porgy Complex,2021,NA,8,2,3,1,1,2,1,1,2,1,2,2,0,2,2,0
South Atlantic Shallow Water Snapper-Grouper Complex,2021,NA,9,2,3,1,1,2,1,1,2,1,1,2,1,2,2,0
South Atlantic Snappers Complex,2021,NA,8,2,3,1,1,2,1,1,2,1,1,2,1,2,2,0
Speckled hind - Southern Atlantic Coast,2021,NA,10,2,3,1,1,2,1,1,3,2,1,2,1,2,2,0
Tilefish - Southern Atlantic Coast,2021,6,8,3,4,1,2,4,2,2,4,2,3,5,2,2,2,0
Vermilion snapper - Southern Atlantic Coast,2018,6,5,3,4,1,3,4,1,2,4,2,3,5,2,0,2,2
Warsaw grouper - Southern Atlantic Coast,NA,NA,10,2,2,0,1,3,2,2,3,1,3,3,0,0,2,2
Wreckfish - Southern Atlantic Coast,2014,6,8,3,4,1,2,3,1,1,3,2,1,3,2,0,2,2
Black grouper - Southern Atlantic Coast / Gulf of Mexico,2010,6,9,3,4,1,2,4,2,2,4,2,4,5,1,0,2,2
Goliath grouper - Southern Atlantic Coast / Gulf of Mexico,22010,3,10,3,3,0,1,4,3,1,3,2,1,3,2,0,2,2
Mutton snapper - Southern Atlantic Coast / Gulf of Mexico,2015,6,8,3,4,1,3,4,1,2,4,2,3,5,2,0,2,2
Yellowtail snapper - Southern Atlantic Coast / Gulf of Mexico,2020,6,9,3,4,1,3,4,1,2,3,1,3,4,1,2,2,0
King mackerel - Gulf of Mexico,2020,6,8,4,4,0,3,4,1,3,4,1,4,5,1,2,3,1
Spanish mackerel - Gulf of Mexico,2013,6,5,4,4,0,3,4,1,3,4,1,4,4,0,0,2,2
Cobia - Gulf of Mexico,2020,6,6,3,4,1,2,4,2,3,4,1,3,4,1,2,2,0
Black corals (Antipatharia) - Gulf of Mexico,NA,NA,10,1,2,1,0,2,2,2,2,0,1,2,1,0,2,2
Fire corals (Milleporidae) - Gulf of Mexico,NA,NA,10,1,2,1,0,2,2,2,2,0,1,2,1,0,2,2
Hydrocorals (Stylasteridae) - Gulf of Mexico,NA,NA,10,1,2,1,0,2,2,2,2,0,1,2,1,0,2,2
Sea fans (Gorgonia spp.) - Gulf of Mexico,NA,NA,10,1,2,1,0,2,2,2,2,0,1,2,1,0,2,2
Stony corals (Scleractinia) - Gulf of Mexico,NA,NA,10,1,2,1,0,2,2,2,2,0,1,2,1,0,2,2
Red drum - Gulf of Mexico,NA,NA,8,2,5,3,1,4,3,3,3,0,1,4,3,0,2,2
Almaco jack - Gulf of Mexico [member of Gulf of Mexico Jacks Complex],NA,NA,7,2,4,2,1,3,2,1,3,2,1,3,2,0,2,2
Banded rudderfish - Gulf of Mexico [member of Gulf of Mexico Jacks Complex],NA,NA,7,2,4,2,0,3,3,1,3,2,1,3,2,0,2,2
Blackfin snapper - Gulf of Mexico [member of Gulf of Mexico Mid-Water Snapper Complex],NA,NA,10,2,4,2,0,3,3,3,3,0,2,3,1,0,2,2
Blueline tilefish - Gulf of Mexico [member of Gulf of Mexico Tilefishes Complex],NA,NA,10,2,4,2,2,4,2,3,3,0,2,4,2,0,2,2
Cubera snapper - Gulf of Mexico,NA,NA,10,1,2,1,0,3,3,2,3,1,2,3,1,0,2,2
Gag - Gulf of Mexico,2021,6,10,3,4,1,3,4,1,2,4,2,3,5,2,3,4,1
Gray snapper - Gulf of Mexico,2018,6,9,4,4,0,4,4,0,3,4,1,3,5,2,1,2,1
Gray triggerfish - Gulf of Mexico,2020,6,7,4,4,0,3,4,1,4,4,0,4,5,1,2,3,1
Greater amberjack - Gulf of Mexico,2021,6,6,4,4,0,1,4,3,1,4,3,4,5,1,2,3,1
Hogfish - Eastern Gulf of Mexico,2018,6,7,4,4,0,4,4,0,3,4,1,4,4,0,2,2,0
Lane snapper - Gulf of Mexico,2020,1,7,3,4,1,2,4,2,2,4,2,2,4,2,2,2,0
Lesser amberjack - Gulf of Mexico [member of Gulf of Mexico Jacks Complex],NA,NA,8,2,4,2,1,3,2,1,3,2,1,3,2,0,2,2
Nassau grouper - Southern Atlantic Coast / Gulf of Mexico,NA,NA,10,0,0,0,0,2,2,2,4,2,1,3,2,0,2,2
Queen snapper - Gulf of Mexico [member of Gulf of Mexico Mid-Water Snapper Complex],NA,NA,10,2,4,2,0,3,3,3,3,0,2,3,1,0,2,2
Red grouper - Gulf of Mexico,2021,6,8,4,4,0,3,4,1,2,5,3,3,5,2,4,4,0
Red snapper - Gulf of Mexico,2021,6,10,3,4,1,4,5,1,2,5,3,3,5,2,2,4,2
Scamp - Gulf of Mexico [member of Gulf of Mexico Shallow Water Grouper Complex],NA,NA,9,4,4,0,3,4,1,3,4,1,3,4,1,1,2,1
Silk snapper - Gulf of Mexico [member of Gulf of Mexico Mid-Water Snapper Complex],NA,NA,10,2,4,2,1,3,2,3,3,0,2,3,1,0,2,2
Snowy grouper - Gulf of Mexico [member of Gulf of Mexico Deep Water Grouper Complex],NA,NA,9,2,4,2,2,4,2,3,4,1,2,3,1,0,2,2
Speckled hind - Gulf of Mexico [member of Gulf of Mexico Deep Water Grouper Complex],NA,NA,10,2,4,2,2,4,2,3,3,0,2,3,1,0,2,2
Tilefish - Gulf of Mexico,2011,6,10,4,4,0,3,4,1,3,3,0,3,4,1,0,2,2
Vermilion snapper - Gulf of Mexico,2020,6,9,4,4,0,3,4,1,3,4,1,4,5,1,2,3,1
Warsaw grouper - Gulf of Mexico [member of Gulf of Mexico Deep Water Grouper Complex],NA,NA,10,2,4,2,2,4,2,3,3,0,2,3,1,0,2,2
Wenchman - Gulf of Mexico [member of Gulf of Mexico Mid-Water Snapper Complex],NA,NA,7,2,4,2,3,3,0,2,3,1,2,3,1,0,2,2
Yellowedge grouper - Gulf of Mexico,2010,6,10,4,4,0,3,4,1,3,4,1,3,4,1,1,3,2
Yellowfin grouper - Gulf of Mexico [member of Gulf of Mexico Shallow Water Grouper Complex],NA,NA,10,2,4,2,0,3,3,2,3,1,2,3,1,0,2,2
Yellowmouth grouper - Gulf of Mexico [member of Gulf of Mexico Shallow Water Grouper Complex],NA,NA,9,2,4,2,3,3,0,3,3,0,2,3,1,0,2,2
Caribbean spiny lobster - Southern Atlantic Coast / Gulf of Mexico,2005,6,6,4,4,0,2,4,2,3,3,0,3,3,0,0,2,2
Brown shrimp - Gulf of Mexico,2020,5,3,4,5,1,3,4,1,2,4,2,2,4,2,2,3,1
Pink shrimp - Gulf of Mexico,2020,5,4,4,5,1,3,4,1,2,4,2,2,4,2,2,3,1
Royal red shrimp - Gulf of Mexico,2021,2,4,4,5,1,0,1,1,0,2,2,0,4,4,0,0,0
White shrimp - Gulf of Mexico,2020,5,4,4,5,1,3,4,1,2,4,2,2,4,2,2,3,1
Barracuda - Puerto Rico,NA,0,7,2,3,1,1,2,1,2,3,1,1,3,2,0,2,2
Caribbean spiny lobster - Puerto Rico,2020,6,7,2,4,2,1,4,3,3,3,0,3,4,1,2,2,0
Puerto Rico Angelfishes Complex,NA,0,7,1,3,2,0,2,2,0,2,2,0,3,3,0,2,2
Puerto Rico Dorado,NA,0,3,2,4,2,1,3,2,2,3,1,1,3,2,0,2,2
Puerto Rico Grouper Unit 1,NA,0,8,2,3,1,0,3,3,2,3,1,0,3,3,0,2,2
Puerto Rico Grouper Unit 2,NA,0,10,2,3,1,0,3,3,2,3,1,0,3,3,0,2,2
Puerto Rico Grouper Unit 3,NA,0,7,2,4,2,1,3,2,1,3,2,1,3,2,0,2,2
Puerto Rico Grouper Unit 4,NA,0,7,2,3,1,0,2,2,1,2,1,0,3,3,0,2,2
Puerto Rico Grouper Unit 5,NA,0,10,2,3,1,0,2,2,1,2,1,0,3,3,0,2,2
Puerto Rico Grouper Unit 6,NA,0,7,2,4,2,1,3,2,2,3,1,2,3,1,0,2,2
Puerto Rico Grunts Complex,NA,0,6,2,3,1,1,3,2,2,3,1,1,3,2,0,2,2
Puerto Rico Jacks 1,NA,0,6,1,3,2,0,2,2,1,3,2,1,3,2,0,2,2
Puerto Rico Jacks 2,NA,0,6,1,3,2,0,2,2,1,3,2,1,3,2,0,2,2
Puerto Rico Jacks 3,NA,0,4,1,3,2,0,2,2,1,3,2,1,3,2,0,2,2
Puerto Rico Mackerels,NA,0,6,2,3,1,0,2,2,1,2,1,0,3,3,0,2,2
Puerto Rico Parrotfishes 1,NA,0,8,2,3,1,0,2,2,1,2,1,0,3,3,0,2,2
Puerto Rico Parrotfishes 2,NA,0,5,2,3,1,0,2,2,1,2,1,0,3,3,0,2,2
Puerto Rico Rays 1,NA,0,9,2,3,1,0,2,2,1,2,1,0,2,2,0,2,2
Puerto Rico Rays 2,NA,0,9,1,3,2,0,2,2,1,2,1,0,2,2,0,2,2
Puerto Rico Rays 3,NA,0,10,1,3,2,0,2,2,1,2,1,0,2,2,0,2,2
Puerto Rico Snapper Unit 1,NA,0,10,1,4,3,0,3,3,2,3,1,2,3,1,0,2,2
Puerto Rico Snapper Unit 2,NA,0,8,2,4,2,1,3,2,2,3,1,2,3,1,0,2,2
Puerto Rico Snapper Unit 3,NA,0,7,2,4,2,1,3,2,2,3,1,1,3,2,0,2,2
Puerto Rico Snapper Unit 4,NA,0,7,2,4,2,1,3,2,2,3,1,1,3,2,0,2,2
Puerto Rico Snapper Unit 5,NA,0,2,2,4,2,1,3,2,2,3,1,2,3,1,0,2,2
Puerto Rico Snapper Unit 6,NA,0,8,2,3,1,1,2,1,1,3,2,1,3,2,0,2,2
Puerto Rico Surgeonfishes Complex,NA,0,5,1,3,2,0,2,2,1,2,1,0,3,3,0,2,2
Puerto Rico Triggerfishes Complex,NA,0,4,2,3,1,1,2,1,2,3,1,1,3,2,0,2,2
Puerto Rico Tunas,NA,0,5,2,3,1,0,2,2,1,2,1,0,3,3,0,2,2
Puerto Rico Wrasses 1,NA,0,6,2,4,2,1,3,2,2,3,1,1,3,2,0,2,2
Puerto Rico Wrasses 2,NA,0,8,1,3,2,0,2,2,1,2,1,0,3,3,0,2,2
Queen conch - Puerto Rico,NA,0,9,2,4,2,1,4,3,2,3,1,1,3,2,0,2,2
Tripletail - Puerto Rico,NA,0,6,1,3,2,0,2,2,1,3,2,1,3,2,0,2,2
Wahoo - Puerto Rico,NA,0,5,2,3,1,1,2,1,2,3,1,1,3,2,0,2,2
Caribbean spiny lobster - St. Croix,2020,6,6,2,4,2,1,4,3,3,3,0,3,4,1,2,2,0
Dolphin - St. Croix,NA,0,3,2,4,2,1,2,1,2,3,1,1,3,2,0,2,2
Queen conch - St. Croix,NA,0,8,2,4,2,1,4,3,2,3,1,1,3,2,0,2,2
St. Croix Angelfishes Complex,NA,0,7,2,3,1,0,2,2,1,2,1,0,3,3,0,2,2
St. Croix Grouper Unit 1,NA,0,9,2,3,1,0,3,3,2,3,1,0,3,3,0,2,2
St. Croix Grouper Unit 2,NA,0,10,2,3,1,0,3,3,2,3,1,0,3,3,0,2,2
St. Croix Grouper Unit 3,NA,0,7,2,4,2,1,3,2,2,3,1,1,3,2,0,2,2
St. Croix Grouper Unit 4,NA,0,8,2,4,2,1,3,2,2,3,1,2,3,1,0,2,2
St. Croix Grouper Unit 5,NA,0,8,2,3,1,0,2,2,1,2,1,0,3,3,0,2,2
St. Croix Grouper Unit 6,NA,0,10,2,3,1,1,2,1,1,3,2,0,3,3,0,2,2
St. Croix Grunts Complex,NA,0,6,2,3,1,0,2,2,1,2,1,0,3,3,0,2,2
St. Croix Parrotfishes 1,NA,0,8,2,3,1,0,2,2,1,2,1,0,3,3,0,2,2
St. Croix Parrofishes 2,NA,0,5,2,4,2,1,3,2,2,3,1,1,3,2,0,2,2
St. Croix Snapper Unit 1,NA,0,7,2,4,2,1,3,2,2,3,1,0,3,3,0,2,2
St. Croix Snapper Unit 2,NA,0,9,2,4,2,1,2,1,2,3,1,0,3,3,0,2,2
St. Croix Snapper Unit 3,NA,0,9,2,3,1,0,2,2,1,2,1,0,3,3,0,2,2
St. Croix Snapper Unit 4,NA,0,9,2,3,1,1,2,1,2,3,1,0,3,3,0,2,2
St. Croix Snapper Unit 5,NA,0,7,2,3,1,1,2,1,2,3,1,0,3,3,0,2,2
St. Croix Snapper Unit 6,NA,0,5,2,4,2,1,3,2,2,3,1,0,3,3,0,2,2
St. Croix Squirrelfishes Complex,NA,0,3,2,3,1,1,2,1,1,3,2,0,3,3,0,2,2
St. Croix Surgeonfishes Complex,NA,0,3,2,3,1,0,2,2,1,2,1,0,3,3,0,2,2
St. Croix Triggerfishes Complex,NA,0,5,2,3,1,1,2,1,2,3,1,1,3,2,0,2,2
Wahoo - St. Croix,NA,0,5,2,3,1,1,2,1,2,3,1,0,3,3,0,2,2
Caribbean spiny lobster - St. Thomas / St. John,2020,6,6,2,4,2,1,4,3,3,3,0,3,4,1,2,2,0
Dolphinfish - St. Thomas / St. John,NA,0,3,2,4,2,1,2,1,2,3,1,0,3,3,0,2,2
Hogfish - St. Thomas / St. John,NA,0,8,1,3,2,0,2,2,2,3,1,0,3,3,0,2,2
Queen conch - St. Thomas / St. John,NA,0,9,2,4,2,1,4,3,2,3,1,0,3,3,0,2,2
