Stock,Last_assessment,Model_category,Target_frequency,Catch_level,Catch_target,Catch_gap,Abundance_level,Abundance_target,Abundance_gap,LH_level,LH_target,LH_gap,Comp_level,Comp_target,Comp_gap,Eco_level,Eco_target,Eco_gap
St. Thomas / St. John Angelfishes Complex,NA,0,6,2,3,1,1,3,2,1,3,2,0,3,3,0,2,2
St. Thomas / St. John Grouper Unit 1,NA,0,9,2,3,1,0,3,3,2,3,1,0,3,3,0,2,2
St. Thomas / St. John Grouper Unit 2,NA,0,10,2,3,1,0,3,3,2,3,1,0,3,3,0,2,2
St. Thomas / St. John Grouper Unit 3,NA,0,7,2,4,2,1,3,2,2,3,1,1,3,2,0,2,2
St. Thomas / St. John Grouper Unit 4,NA,0,7,2,3,1,0,2,2,1,2,1,0,3,3,0,2,2
St. Thomas / St. John Grouper Unit 5,NA,0,10,2,3,1,0,2,2,1,2,1,0,3,3,0,2,2
St. Thomas / St. John Grunts 1,NA,0,7,2,4,2,1,3,2,2,3,1,1,3,2,0,2,2
St. Thomas / St. John Grunts 2,NA,0,7,2,3,1,1,2,1,1,3,2,0,3,3,0,2,2
St. Thomas / St. John Jacks Complex,NA,0,4,2,3,1,1,2,1,1,3,2,0,3,3,0,2,2
St. Thomas / St. John Parrotfishes 1,NA,0,8,2,3,1,0,2,2,1,2,1,0,3,3,0,2,2
St. Thomas / St. John Parrotfishes 2,NA,0,6,2,4,2,1,3,2,2,3,1,0,3,3,0,2,2
St. Thomas / St. John Porgies Complex,NA,0,9,2,3,1,1,2,1,1,3,2,0,3,3,0,2,2
St. Thomas / St. John Snapper Unit 1,NA,0,6,2,4,2,1,3,2,2,3,1,0,3,3,0,2,2
St. Thomas / St. John Snapper Unit 2,NA,0,10,2,3,1,1,2,1,2,3,1,0,3,3,0,2,2
St. Thomas / St. John Snapper Unit 3,NA,0,9,2,4,2,1,3,2,2,3,1,0,3,3,0,2,2
St. Thomas / St. John Snapper Unit 4,NA,0,4,2,4,2,1,3,2,2,3,1,1,3,2,0,2,2
St. Thomas / St. John Surgeonfishes Complex,NA,0,4,2,3,1,1,2,1,1,2,1,1,3,2,0,2,2
St. Thomas / St. John Triggerfishes Complex,NA,0,5,2,3,1,1,2,1,2,3,1,1,3,2,0,2,2
Wahoo - St. Thomas / St. John,NA,0,5,2,3,1,1,2,1,2,3,1,0,3,3,0,2,2
Albacore - North Atlantic,2020,3,3,3,5,2,2,2,0,3,4,1,1,5,4,1,3,2
Atlantic angelshark - Atlantic [member of Prohibited Species complex],NA,NA,3,1,1,0,1,1,0,2,2,0,1,1,0,0,0,0
Atlantic sharpnose shark - Atlantic,2013,6,4,3,4,1,3,4,1,3,4,1,3,4,1,1,2,1
Atlantic sharpnose shark - Gulf of Mexico,2013,6,3,3,4,1,3,4,1,3,4,1,3,4,1,1,2,1
Basking shark - Atlantic [member of Prohibited Species complex],NA,NA,3,1,1,0,1,1,0,2,2,0,1,1,0,0,0,0
Bigeye sand tiger - Atlantic [member of Prohibited Species complex],NA,NA,3,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0
Bigeye sixgill shark - Atlantic [member of Prohibited Species complex],NA,NA,2,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0
Bigeye thresher - Atlantic [member of Prohibited Species complex],NA,NA,4,1,1,0,1,1,0,2,2,0,1,1,0,0,0,0
Bigeye tuna - Atlantic,2021,5,3,3,4,1,2,3,1,2,4,2,3,5,2,2,3,1
Bignose shark - Atlantic [member of Prohibited Species complex],NA,NA,3,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0
Blacknose shark - Atlantic,2011,6,4,3,4,1,3,4,1,3,4,1,3,4,1,1,2,1
Blacknose shark - Gulf of Mexico,NA,NA,4,3,4,1,3,4,1,3,4,1,3,4,1,0,2,2
Blacktip shark - Atlantic,2021,6,5,2,4,2,3,4,1,2,4,2,3,4,1,1,2,1
Blacktip shark - Gulf of Mexico,2018,6,4,3,4,1,3,4,1,3,4,1,3,4,1,1,2,1
Blue marlin - Atlantic,2018,5,2,2,4,2,2,2,0,2,4,2,3,5,2,1,3,2
Blue shark - North Atlantic,2015,6,3,3,4,1,2,3,1,3,4,1,3,4,1,1,2,1
Bluefin tuna - Western Atlantic,2021,6,3,4,4,0,4,5,1,3,4,1,3,5,2,3,3,0
Bluntnose sixgill shark - Atlantic [member of Prohibited Species complex],NA,NA,2,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0
Bonnethead - Atlantic,NA,NA,5,3,4,1,3,4,1,3,4,1,3,4,1,0,2,2
Bonnethead - Gulf of Mexico,NA,NA,5,3,4,1,3,4,1,3,4,1,3,4,1,0,2,2
Bull shark - Atlantic and Gulf of Mexico,NA,NA,3,3,3,0,3,3,0,3,3,0,3,3,0,0,2,2
Caribbean sharpnose shark - Atlantic [member of Prohibited Species complex],NA,NA,2,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0
Dusky shark - Atlantic and Gulf of Mexico,2016,3,6,1,1,0,3,3,0,3,4,1,3,4,1,1,2,1
Finetooth shark - Atlantic and Gulf of Mexico,2007,3,6,3,4,1,3,3,0,3,4,1,1,4,3,1,2,1
Galapagos shark - Atlantic [member of Prohibited Species complex],NA,NA,2,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0
Great hammerhead - Atlantic and Gulf of Mexico,NA,NA,3,3,3,0,3,3,0,3,3,0,2,2,0,0,0,0
Gulf Smoothhound Complex,2015,3,7,3,3,0,3,3,0,2,2,0,1,3,2,1,0,0
Lemon shark - Atlantic and Gulf of Mexico,NA,NA,2,3,3,0,3,3,0,3,3,0,1,3,2,0,0,0
Longbill spearfish - Western Atlantic,NA,NA,1,2,3,1,0,2,2,1,2,1,1,5,4,0,1,1
Longfin mako - Atlantic [member of Prohibited Species complex],NA,NA,3,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
Narrowtooth shark - Atlantic [member of Prohibited Species complex],NA,NA,3,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0
Night shark - Atlantic [member of Prohibited Species complex],NA,NA,3,1,1,0,3,3,0,2,2,0,2,2,0,0,0,0
Nurse shark - Atlantic and Gulf of Mexico,NA,NA,3,3,3,0,3,3,0,3,3,0,2,2,0,0,0,0
Oceanic whitetip shark - Atlantic and Gulf of Mexico,NA,NA,3,2,2,0,2,2,0,3,3,0,2,2,0,0,0,0
Porbeagle - Northwestern Atlantic,2021,1,7,2,2,0,2,1,0,3,4,1,2,4,2,1,2,1
Reef shark - Atlantic [member of Prohibited Species complex],NA,NA,3,1,1,0,0,0,0,2,2,0,1,1,0,0,0,0
Roundscale spearfish - Atlantic,NA,NA,1,2,3,1,0,2,2,1,2,1,1,5,4,0,1,1
Sailfish - Western Atlantic,2016,6,1,3,4,1,2,2,0,3,4,1,3,5,2,1,3,2
Sand tiger - Atlantic [member of Prohibited Species complex],NA,NA,3,3,3,0,3,3,0,3,3,0,2,2,0,0,0,0
Sandbar shark - Atlantic and Gulf of Mexico,2018,5,5,3,4,1,3,4,1,3,4,1,3,4,1,1,2,1
Scalloped hammerhead - Atlantic and Gulf of Mexico,2009,3,4,3,3,0,3,3,0,3,3,0,1,3,2,0,0,0
Shortfin mako - North Atlantic,2017,6,7,3,4,1,2,2,0,3,4,1,3,4,1,1,2,1
Silky shark - Atlantic and Gulf of Mexico,NA,NA,3,3,3,0,3,3,0,3,3,0,3,3,0,0,2,2
Skipjack tuna - Western Atlantic,2014,3,1,3,4,1,3,3,0,2,4,2,3,5,2,1,3,2
Smalltail shark - Atlantic [member of Prohibited Species complex],NA,NA,2,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0
Smooth dogfish - Atlantic,2015,6,4,3,4,1,3,4,1,3,4,1,3,4,1,1,2,1
Smooth hammerhead - Atlantic and Gulf of Mexico,NA,NA,3,2,2,0,2,2,0,2,2,0,2,2,0,0,0,0
Spinner shark - Atlantic and Gulf of Mexico,NA,NA,2,3,4,1,3,3,0,3,3,0,3,3,0,0,0,0
Swordfish - North Atlantic,2017,6,3,4,5,1,2,2,0,3,4,1,3,5,2,3,3,0
Thresher shark - Atlantic and Gulf of Mexico,NA,NA,3,3,3,0,2,2,0,3,3,0,2,2,0,0,0,0
Tiger shark - Atlantic and Gulf of Mexico,NA,NA,3,3,4,1,3,3,0,3,3,0,3,3,0,0,0,0
Whale shark - Atlantic [member of Prohibited Species complex],NA,NA,8,1,1,0,1,1,0,2,2,0,1,1,0,0,0,0
White marlin - Atlantic,2019,5,1,2,3,1,2,2,0,2,4,2,3,5,2,2,3,1
White shark - Atlantic [member of Prohibited Species complex],NA,NA,4,1,1,0,1,1,0,2,2,0,1,1,0,0,0,0
Yellowfin tuna - Atlantic,2019,6,2,3,4,1,2,3,1,3,4,1,3,5,2,2,3,1
Alaska plaice – Bering Sea / Aleutian Islands,2021,6,2,5,5,0,5,5,0,4,4,0,4,4,0,2,3,1
Alaska skate – Bering Sea / Aleutian Islands [member of Bering Sea / Aleutian Islands Skate Complex],2021,6,2,3,5,2,3,4,1,4,4,0,3,3,0,2,2,0
Arrowtooth flounder – Bering Sea / Aleutian Islands,2021,6,2,4,4,0,4,4,0,3,4,1,3,3,0,4,4,0
Atka mackerel – Bering Sea / Aleutian Islands,2020,6,1,5,5,0,4,4,0,4,5,1,4,5,1,2,3,1
Bering Sea / Aleutian Islands Blackspotted and Rougheye Rockfish Complex,2020,6,2,4,5,1,4,4,0,4,4,0,4,5,1,2,3,1
Bering Sea / Aleutian Islands Flathead Sole Complex [indicator = flathead sole],2021,6,2,5,5,0,4,4,0,4,4,0,4,5,1,2,1,0
Bering Sea / Aleutian Islands Octopus Complex [indicator = giant Pacific octopus],2020,1,2,3,3,0,2,3,1,1,2,1,1,2,1,1,2,1
Bering Sea / Aleutian Islands Other Flatfish Complex [indicator = starry flounder],2020,2,4,5,4,0,4,4,0,2,2,0,1,1,0,0,0,0
Bering Sea / Aleutian Islands Other Rockfish Complex,2020,2,4,2,5,3,3,4,1,3,4,1,1,4,3,0,4,4
Bering Sea / Aleutian Islands Other Skates Complex [remainder of Bering Sea / Aleutian Islands Skate Complex],2021,2,2,3,5,2,2,4,2,2,3,1,2,2,0,0,2,2
Bering Sea / Aleutian Islands Rock Sole Complex [indicator = northern rock sole],2021,6,2,5,5,0,4,5,1,4,4,0,4,5,1,2,4,2
Bering Sea / Aleutian Islands Shark Complex [indicator = Pacific sleeper shark],2016,1,2,2,2,0,1,2,1,1,2,1,1,2,1,1,1,0
Greenland halibut – Bering Sea / Aleutian Islands,2021,6,2,5,5,0,3,4,1,3,4,1,3,4,1,2,3,1
Kamchatka flounder – Bering Sea / Aleutian Islands,2021,6,2,4,5,1,3,4,1,3,4,1,3,4,1,2,2,0
Northern rockfish – Bering Sea / Aleutian Islands,2021,6,2,5,5,0,4,4,0,4,4,0,4,5,1,2,3,1
Pacific cod – Aleutian Islands,2021,2,2,5,5,0,3,4,1,1,4,3,1,4,3,2,2,0
Pacific cod – Bering Sea,2021,6,2,4,5,1,3,5,2,4,5,1,4,5,1,2,4,2
Pacific ocean perch – Bering Sea / Aleutian Islands,2021,6,2,5,5,0,4,4,0,4,4,0,4,5,1,2,3,1
Shortraker rockfish – Bering Sea / Aleutian Islands,2020,2,4,2,5,3,3,4,1,2,4,2,1,4,3,0,4,4
Walleye pollock – Aleutian Islands,2021,6,4,5,5,0,3,4,1,2,3,1,2,5,3,2,2,0
Walleye pollock – Bogoslof,2020,2,2,5,5,0,4,4,0,4,4,0,4,4,0,0,0,0
Walleye pollock – Eastern Bering Sea,2020,6,1,5,5,0,4,4,0,4,4,0,4,5,1,2,4,2
Yellowfin sole – Bering Sea / Aleutian Islands,2021,6,1,5,5,0,5,5,0,4,5,1,4,5,1,4,4,0
Arrowtooth flounder – Gulf of Alaska,2021,6,2,4,4,0,4,4,0,3,3,0,4,3,0,2,2,0
Atka mackerel – Gulf of Alaska,2016,1,1,1,2,1,0,1,1,3,4,1,1,2,1,0,1,1
Big skate – Gulf of Alaska [member of Gulf of Alaska Skates],2021,2,2,5,5,0,4,4,0,2,5,3,2,3,1,0,2,2
Dover sole – Gulf of Alaska [indicator for Gulf of Alaska Deepwater Flatfish Complex],2021,6,4,5,5,0,4,4,0,4,4,0,3,3,0,2,2,0
Dusky rockfish – Gulf of Alaska,2021,6,2,4,4,0,3,4,1,1,2,1,4,4,0,2,1,0
Flathead sole – Gulf of Alaska,2020,6,4,5,5,0,4,4,0,4,4,0,3,4,1,2,1,0
Gulf of Alaska Blackspotted and Rougheye Rockfish Complex,2020,6,4,4,5,1,4,4,0,4,4,0,4,4,0,2,2,0
Gulf of Alaska Demersal Shelf Rockfish Complex [indicator = yelloweye rockfish],NA,NA,2,2,2,0,1,1,0,0,0,0,1,1,0,0,0,0
Gulf of Alaska Octopus Complex [indicator = giant Pacific octopus],2017,2,2,3,3,0,3,3,0,1,2,1,2,2,0,1,2,1
Gulf of Alaska Other Deepwater Flatfish Complex [indicator = Dover sole],2016,1,4,3,2,0,4,4,0,1,1,0,0,0,0,0,1,1
Gulf of Alaska Other Rockfish Complex [indicator = silvergray rockfish],2021,2,2,3,3,0,3,3,0,2,2,0,1,2,1,0,1,1
Gulf of Alaska Other Shallow Water Flatfish Complex [remainder of Gulf of Alaska Shallow Water Flatfish Complex],2019,2,4,4,4,0,3,4,1,0,2,2,1,2,1,0,1,1
Gulf of Alaska Other Skates Complex [remainder of Gulf of Alaska Skates],2021,2,2,3,5,2,4,4,0,2,3,1,2,2,0,0,2,2
Gulf of Alaska Shark Complex [indicator = spiny dogfish],2020,2,2,3,3,0,3,3,0,2,3,1,1,2,1,0,1,1
Gulf of Alaska Thornyhead Rockfish Complex [indicator = shortspine thornyhead],2020,2,2,2,3,1,3,3,0,2,4,2,2,3,1,0,1,1
Longnose skate – Gulf of Alaska [member of Gulf of Alaska Skates],2021,2,2,5,5,0,4,4,0,2,5,3,2,3,1,0,2,2
Northern rock sole – Gulf of Alaska [indicator for Gulf of Alaska Shallow Water Flatfish Complex],2020,6,4,3,4,1,3,4,1,3,4,1,3,4,1,2,2,0
Northern rockfish – Western / Central Gulf of Alaska,2021,6,2,5,5,0,3,4,1,3,4,1,4,4,0,2,2,0
Pacific cod – Gulf of Alaska,2020,6,1,5,5,0,4,4,0,4,5,1,4,5,1,4,5,1
Pacific ocean perch – Gulf of Alaska,2021,6,2,5,5,0,4,4,0,4,4,0,4,5,1,2,4,2
Rex sole – Gulf of Alaska,2019,6,2,5,5,0,4,4,0,4,5,1,5,5,0,2,2,0
Rock sole – Gulf of Alaska [indicator for Gulf of Alaska Shallow Water Flatfish Complex],2020,6,4,3,4,1,4,4,0,3,4,1,3,4,1,2,2,0
Sharpchin rockfish – Gulf of Alaska [member of Gulf of Alaska Other Rockfish Complex],NA,NA,2,3,3,0,3,3,0,2,2,0,2,2,0,1,1,0
Shortraker rockfish – Gulf of Alaska,2021,2,2,2,3,1,3,3,0,2,4,2,2,3,1,0,1,1
Walleye pollock – Southeast Gulf of Alaska,2021,2,2,5,5,0,3,4,1,2,4,2,2,2,0,0,0,0
Walleye pollock – Western / Central / West Yautat Gulf of Alaska,2021,6,1,5,5,0,4,5,1,4,5,1,5,5,0,2,4,2
Yelloweye rockfish – Gulf of Alaska [indicator for Gulf of Alaska Demersal Shelf Rockfish Complex],2021,2,2,4,4,0,3,4,1,3,4,1,2,5,3,0,2,2
Sablefish - Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,2021,6,1,5,5,0,4,4,0,4,4,0,4,5,1,2,4,2
Blue king crab – Pribilof Islands,2021,2,3,4,5,1,3,3,0,2,3,1,2,2,0,0,4,4
Blue king crab – Saint Matthew Island,2020,5,1,3,4,1,3,4,1,2,3,1,3,3,0,2,2,0
Golden king crab – Aleutian Islands,2021,5,1,4,5,1,2,3,1,4,4,0,3,3,0,2,2,0
Golden king crab – Pribilof Islands,2017,1,3,3,3,0,2,3,1,1,1,0,1,2,1,1,1,0
Red king crab – Bristol Bay,2021,5,1,5,5,0,4,5,1,3,5,2,3,3,0,3,3,0
Red king crab – Norton Sound,2021,5,2,3,5,2,3,4,1,1,3,2,3,3,0,3,2,0
Red king crab – Pribilof Islands,2019,5,2,5,5,0,4,4,0,1,3,2,3,3,0,2,2,0
Red king crab – Western Aleutian Islands,2017,1,3,3,3,0,1,1,0,2,2,0,1,2,1,0,1,1
Snow crab – Bering Sea,2021,5,1,5,5,0,4,5,1,3,5,2,3,3,0,2,3,1
Southern Tanner crab – Bering Sea,2021,5,1,4,4,0,4,5,1,3,5,2,3,3,0,2,4,2
Arctic cod - Arctic Management Area,NA,NA,1,0,0,0,0,3,3,1,2,1,1,3,2,1,2,1
Saffron cod - Arctic Management Area,NA,NA,2,0,0,0,0,3,3,1,2,1,1,3,2,1,2,1
Snow crab - Arctic Management Area,NA,NA,4,0,0,0,0,3,3,1,2,1,1,3,2,1,2,1
Coho salmon - Auke Creek [indicator for Alaska Coho Salmon Assemblage],2021,2,1,5,5,0,5,5,0,3,5,2,0,5,5,2,2,0
Coho salmon - Berners River [indicator for Alaska Coho Salmon Assemblage],2021,2,1,5,5,0,4,4,0,3,5,2,0,5,5,2,2,0
Coho salmon - Hugh Smith Lake [indicator for Alaska Coho Salmon Assemblage],2021,2,1,5,5,0,5,5,0,4,4,0,5,5,0,2,2,0
Chinook salmon - Eastern North Pacific Far North Migrating,2021,6,1,5,5,0,4,4,0,4,4,0,0,4,4,2,2,0
Weathervane scallop - Alaska,2021,2,1,5,5,0,3,3,0,3,4,1,4,5,1,0,0,0
Arrowtooth flounder - Pacific Coast,2021,6,6,4,4,0,4,4,0,3,3,0,3,4,1,2,2,0
Aurora rockfish - Pacific Coast [member of Minor Slope Rockfish],2013,6,10,4,4,0,4,4,0,3,3,0,3,3,0,2,2,0
Bank rockfish - Pacific Coast [member of Minor Slope Rockfish],2010,1,4,3,3,0,3,3,0,2,2,0,3,3,0,0,0,0
Big skate - Pacific Coast,2019,6,4,3,3,0,4,4,0,3,3,0,3,3,0,0,2,2
Black rockfish - Pacific Coast,2019,6,4,3,4,1,2,3,1,3,5,2,3,5,2,2,4,2
Blackgill rockfish - Pacific Coast [member of Minor Slope Rockfish],2019,6,10,3,3,0,2,2,0,3,3,0,3,3,0,0,2,2
Bocaccio - Pacific Coast,2017,6,4,4,5,1,4,4,0,3,5,2,3,4,1,2,4,2
Bronzespotted rockfish - Pacific Coast [member of Minor Shelf Rockfish],NA,NA,4,2,2,0,2,2,0,1,1,0,0,0,0,0,0,0
Brown rockfish - Pacific Coast [member of Minor Nearshore Rockfish],2013,3,4,3,4,1,2,2,0,3,4,1,2,2,0,0,2,2
Butter sole - Pacific Coast [member of Other Flatfish],NA,NA,2,2,2,0,0,0,0,1,1,0,1,1,0,0,0,0
Cabezon - Pacific Coast,2019,6,4,3,4,1,2,2,0,2,3,1,3,3,0,2,2,0
Calico rockfish - Pacific Coast [member of Minor Nearshore Rockfish],NA,NA,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
California scorpionfish - Pacific Coast,2017,6,6,4,5,1,2,2,0,3,3,0,3,5,2,2,2,0
Canary rockfish - Pacific Coast,2021,6,6,4,5,1,3,4,1,3,5,2,3,5,2,2,4,2
Chameleon rockfish - Pacific Coast [member of Minor Shelf Rockfish],NA,NA,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Chilipepper - Pacific Coast,2017,6,6,4,4,0,3,4,1,3,3,0,3,3,0,2,2,0
China rockfish - Pacific Coast,2019,6,10,3,4,1,2,3,1,3,3,0,3,3,0,1,2,1
Copper rockfish - Pacific Coast,2021,5,6,4,5,1,0,3,3,3,4,1,2,5,3,0,2,2
Cowcod - Pacific Coast,2019,6,10,3,4,1,3,3,0,3,3,0,3,3,0,1,2,1
Curlfin sole - Pacific Coast [member of Other Flatfish],NA,NA,2,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0
Darkblotched rockfish - Pacific Coast,2021,6,8,4,4,0,4,4,0,3,3,0,3,3,0,2,2,0
Dover sole - Pacific Coast,2021,6,6,5,5,0,4,4,0,3,5,2,4,5,1,2,4,2
English sole - Pacific Coast,2013,3,6,3,4,1,4,4,0,3,3,0,3,3,0,0,0,0
Flag rockfish - Pacific Coast [member of Minor Shelf Rockfish],NA,NA,4,2,2,0,0,0,0,1,1,0,2,2,0,0,0,0
Flathead sole - Pacific Coast [member of Other Flatfish],NA,NA,4,2,2,0,3,3,0,1,1,0,2,2,0,0,0,0
Freckled rockfish - Pacific Coast [member of Minor Shelf Rockfish],NA,NA,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Grass rockfish - Pacific Coast [member of Minor Nearshore Rockfish],NA,NA,4,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0
Greenblotched rockfish - Pacific Coast [member of Minor Shelf Rockfish],NA,NA,6,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0
Greenspotted rockfish - Pacific Coast [member of Minor Shelf Rockfish],2011,6,10,3,3,0,3,3,0,3,3,0,3,4,1,2,2,0
Greenstriped rockfish - Pacific Coast [member of Minor Shelf Rockfish],2009,6,10,4,4,0,3,3,0,3,3,0,3,3,0,2,2,0
Halfbanded rockfish - Pacific Coast [member of Minor Shelf Rockfish],NA,NA,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Harlequin rockfish - Pacific Coast [member of Minor Shelf Rockfish],NA,NA,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Honeycomb rockfish - Pacific Coast [member of Minor Shelf Rockfish],NA,NA,4,2,2,0,0,0,0,1,1,0,2,2,0,0,0,0
Kelp greenling - Pacific Coast [member of Other Fish],2015,6,6,3,3,0,2,3,1,3,3,0,3,3,0,2,2,0
Kelp rockfish - Pacific Coast [member of Minor Nearshore Rockfish],NA,NA,4,2,2,0,0,0,0,1,1,0,2,2,0,0,0,0
